key,fr_FR,nl_NL,it_IT,de_DE,nl_BE,es_ES,pt_ES
checkout > confirmation.message,"Pour toute question sur votre commande, contactez-nous au","Hebt u vragen over uw bestelling, neem dan contact met ons op via","Pour toute question sur votre commande, contactez-nous au",Für Fragen zu Ihrer Bestelllung kontaktieren Sie uns unter ,"Hebt u vragen over uw bestelling, neem dan contact met ons op via","Si tienes alguna duda sobre tu pedido, ponte en contacto con nosotros al","Para esclarecer qualquer dúvida sobre a sua encomenda, contacte o nosso"
checkout > confirmation.returnshop,Poursuivre mes achats,Bestelling afronden,Poursuivre mes achats,Einkauf fortsetzen,Verder winkelen,Seguir comprando,Continuar as minhas compras
checkout > confirmation.thankyou,Merci pour votre commande.,Bedankt voor uw bestelling.,Merci pour votre commande.,Vielen Dank für Ihre Bestellung,Bedankt voor uw bestelling.,Gracias por haber realizado tu pedido.,Obrigado pela encomenda.
checkout > minibillinginfo.amount,Montant,Bedrag,Montant,Betrag,Bedrag,Importe,Total
checkout > minibillinginfo.billingaddress,Factuuradres,Facturatie Adres,Adresse de facturation,Rechnungsadresse,Factuuradres,Dirección de la facturación,Endereço de faturação
checkout > minicart.directcheckout,ou aller directement au paiement,of ga direct naar betalen,ou aller directement au paiement,oder direkt zur Zahlung gehen,of ga direct naar betalen,o ir directamente al pago,ou avançar diretamente para o pagamento
checkout > minicart.title,Votre panier,Uw winkelmand,Votre panier,Ihr Einkaufskorb,Uw winkelmand,Tu carro,O seu carrinho
checkout > minicart.viewcart,Afficher le panier,Winkelmand weergeven,Afficher le panier,Ihren Einkaufskorb zeigen,Winkelmand weergeven,Ver carro,Ver o carrinho
checkout > minicart.viewcart.label,Aller au panier,Naar de winkelmand gaan,Aller au panier,Zum Einkaufskorb gehen,Naar de winkelmand gaan,Ir al carro,Aceder ao carrinho
checkout > minishipments.shippingaddress,Adresse de livraison,afleveradres,Adresse de livraison,Lieferadresse,Leveringsadres,Dirección de entrega,Endereço de envio
checkout > multishippingshipments.shipment,Livraison,Verzending,Livraison,Lieferung,Levering,Entrega,Envio
checkout > singleshipping.enteraddress,Livraison,Afleveradres,Livraison,Lieferung,Levering,Entrega,Envio
checkout > singleshipping.phonerequired,Pourquoi est-ce obligatoire ?,Waarom is dit verplicht?,Pourquoi est-ce obligatoire ?,Warum ist dies erforderlich?,Waarom is dit verplicht?,¿Por qué es obligatorio?,Porque é que é obrigatório?
checkout > summary.applied,Appliqué,Toegepast,Appliqué,Verwendet,Toegepast,Aplicado,Aplicado
checkout > summary.couponnumber,Kortingsbonnummer:,Voucher code:,N° du bon de réduction :,Nr. des Ermäßigungsgutscheins:,Kortingsbonnummer:,N.º del cupón de reducción:,N.º do cupão de desconto:
checkout > summary.editcart,Modifier le panier,Winkelmand aanpassen,Modifier le panier,Einkaufskorb ändern,Winkelmand aanpassen,Modificar carro,Alterar o carrinho
checkout > summary.notapplied,Non appliqué,Niet van toepassing,Non appliqué,Nicht verwendet,Niet van toepassing,No aplicado,Não aplicado
checkout > summary.orderdiscount,Remise sur la commande :,Korting op de bestelling:,Remise sur la commande :,Ermäßigung auf die Bestellung:,Korting op de bestelling:,Descuento sobre el pedido:,Desconto na encomenda:
checkout > summary.ordertotal,Total,Totaal,Total,Gesamtbetrag,Totaal,Total,Total
checkout > summary.title,Récapitulatif de la commande,Besteloverzicht,Récapitulatif de la commande,Zusammenfassung Ihrer Bestellung,Besteloverzicht,Resumen del pedido,Resumo da encomenda
common > error_forbidden.message,Votre session a peut-être été détournée. Retour à la,Je sessie is mogelijk verplaatst. Ga terug naar de,Votre session a peut-être été détournée. Retour à la,Ihre Sitzung wurde möglicherweise umgeleitet. Gehen Sie zurück zu,Uw sessie werd mogelijk omgeleid. Terug naar,Puede que tu sesión se haya redirigido. Volver a la,A sua sessão pode ter terminado. Regressar à
components > menulinksleft.ecommerce,E-SHOP,shop,E-SHOP,E-SHOP,E-SHOP,E-SHOP,E-SHOP
components > menulinksright.promotions,Promotions,Promoties,Promozioni,Sonderangebote,Promoties,Promociones,Promoções
components > orderdetails.billingaddress,Adresse de facturation,Factuuradres,Adresse de facturation,Rechnungsadresse,Factuuradres,Dirección de la facturación,Endereço de faturação
components > orderdetails.paymentmethod,Mode de paiement,Betaalwijze,Mode de paiement,Zahlungsart,Betaalwijze,Método de pago,Método de pagamento
components > orderdetails.paymenttotal,Total paiement,Totaal te voldoen,Total paiement,Gesamtbetrag,Totaal te betalen,Total pago,Total a pagar
components > orderdetails.shippingaddress,Adresse de livraison,Bezorgadres,Adresse de livraison,Lieferadresse,Leveringsadres,Dirección de entrega,Endereço de envio
components > orderdetails.shippingdetails,Détails de la livraison,Bezorginformatie,Détails de la livraison,Angaben zur Lieferung,Leveringsinformatie,Detalles de la entrega,Detalhes do envio
components > orderdetails.shippingmethod,Mode de livraison :,Bezorgingsmethode:,Mode de livraison :,Lieferart:,Leveringsmethode:,Métodos de entrega:,Endereço de envio
components > orderdetails.shippingstatus,état de la livraison :,bezorgstatus:,état de la livraison :,Lieferstatus:,Leveringsstatus:,estado de la entrega:,estado do envio:
components > orderdetails.shippingto,Livraison à ,Bezorging op,Livraison à ,Lieferung an ,Levering op,Entrega en ,Envio para 
components > orderdetails.tracking,Numéro de suivi :,Trackingnummer:,Numéro de suivi :,Nummer zur Sendungsverfolgung:,Trackingnummer:,Número de seguimiento:,Número de seguimento:
components > ordersummary.orderdiscount,Korting op de bestelling,Korting op de bestelling,Remise sur la commande,Ermäßigung auf die Bestellung,Korting op de bestelling,Descuento sobre el pedido,Confirme a encomenda
components > ordersummary.ordershipping,Livraison,Bezorging,Livraison,Lieferung,Levering,Entrega,Envio
components > ordersummary.ordersubtotal,Sous-total de la commande,Subtotaal van de bestelling,Sous-total de la commande,Zwischensumme der Bestellung,Subtotaal van de bestelling,Subtotal del pedido,Sub-total da encomenda
components > ordersummary.subtotal,Sous-total,Subtotaal,Sous-total,Zwischensumme,Subtotaal,Subtotal,Sub-total
contact > contact.accessories.label,Commande accessoires,Losse Onderdelen,Ordine accessori,Bestellung von Zubehör,Bestelling accessoires,Pedir accesorios,Acessórios da encomenda
email > contactus.sav,Demande de SAV / Réclamation provenant de votre site Internet,Garantie aanvraag,Demande de SAV / Réclamation provenant de votre site Internet,Service und Reklamationen: Anfrage über Kontaktformular,Aanvraag voor service na verkoop / klacht vanaf uw website,Solicitud de servicio posventa/reclamación procedente de vuestro sitio web,Pedido de SAV / Reclamação proveniente do seu site da Internet
email > contactus.other,Demande Autres provenant de votre site Internet,Contact,Demande Autres provenant de votre site Internet,Sonstiges: Anfrage über Kontaktformular ,Andere vragen vanaf uw website,Otras consultas procedentes de vuestro sitio web,Pedido Outros proveniente do seu site da Internet
email > contactus.subject.accessories,Commande accessoires,Losse Onderdelen,Ordine accessori,Bestellung von Zubehör,Bestelling accessoires,Pedir accesorios,Acessórios da encomenda
email > contactus.subject.notice,Notice d'utilisation,Gebruiksaanwijzing ,Istruzioni per l'uso,Gebrauchsanweisung,Gebruiksaanwijzing,Manual de instrucciones,Aviso de utilização
email > contactus.text,Un message a été déposé sur le site Babyliss.FR.,Er is een bericht achtergelaten op de BaByliss.nl website ,È stato pubblicato un messaggio sul sito Babyliss.FR.,Es wurde eine Nachricht auf der Website von Babyliss hinterlassen.,Er werd een bericht verstuurd via de website Babyliss.BE.,Se ha enviado un mensaje al sitio web Babyliss.FR.,Foi publicada uma mensagem no site Babyliss.FR.
email > orderconfirmation.altorderconfirmed,Votre commande est confirmée !,Uw bestelling is bevestigd!,Votre commande est confirmée !,Ihre Bestellung ist bestätigt!,Uw bestelling is bevestigd!,¡Pedido confirmado!,A sua encomenda está confirmada!
email > orderconfirmation.azur,N° AZUR 0 810 34 35 36 prix appel local,030 221 99 74,N° AZUR 0 810 34 35 36 prix appel local,N° AZUR 0 810 34 35 36 Ortstarif,030 221 99 74 - prijs lokaal telefoneren,N.° AZUL +33 (0) 810 34 35 36 (tarifa llamada local),N.º AZUR 0 810 34 35 36 preço de chamada local
email > orderconfirmation.contactus,"Pour toute question sur votre commande, <br class=""hide""/>contactez-nous par email en remplissant le <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">formulaire de contact</u></a> <br class=""hide""/>ou par téléphone du lundi au vendredi, de 9h à 17h30 au&nbsp;numéro&nbsp;suivant","Heb je vragen over je bestelling? <br class=""hide""/>Neem dan contact met ons op via e-mail door het <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">contactformulier in te vullen</u></a> <br class=""hide""/>of telefonisch, van maandag tot en met donderdag, van 9:00 tot 17:00 uur en vrijdag, van 9:00 tot 15:30 uur op het&nbsp;volgende telefoonnummer&nbsp; ","Pour toute question sur votre commande, <br class=""hide""/>contactez-nous par email en remplissant le <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">formulaire de contact</u></a> <br class=""hide""/>ou par téléphone du lundi au vendredi, de 9h à 17h30 au&nbsp;numéro&nbsp;suivant","Für Fragen zu Ihrer Bestellung, <br class=""hide""/>kontaktieren Sie uns bitte per E-Mail, indem Sie das <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">Kontaktformular</u></a> <br class=""hide""/>ausfüllen oder telefonisch von Montag bis Freitag von 9 Uhr bis 17.30 Uhr unter folgender &nbsp;Nummer&nbsp;","Hebt u vragen over uw bestelling? <br class=""hide""/>Neem dan contact met ons op via e-mail door het <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">contactformulier in te vullen</u></a> <br class=""hide""/>of telefonisch, van maandag tot en met vrijdag, van 9.00 tot 17.30 uur op het volgende &nbsp;nummer&nbsp;","Si tienes alguna duda sobre tu pedido, <br class=""hide""/>ponte en contacto con nosotros a través del <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">formulario de contacto</u></a> <br class=""hide""/>o por teléfono de lunes a viernes, de 9:00 a 17:30, al siguiente &nbsp;número de teléfono&nbsp;","Para esclarecer qualquer questão sobre a sua encomenda, <br class=""hide""/>contacte-nos por e-mail através do preenchimento do <a href=""{0}"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">formulário de contacto</u></a> <br class=""hide""/>ou por telefone de segunda a sexta-feira, das 9h às 17h30, através do&nbsp;número&nbsp;que se segue"
email > orderconfirmation.generatedmail,"Cet e-mail est généré automatiquement, merci de ne pas y répondre.",Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren. ,"Cet e-mail est généré automatiquement, merci de ne pas y répondre.","Diese E-Mail wurde automatisch versandt, bitte antworten Sie nicht darauf.",Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren.,No respondas a este correo electrónico creado automáticamente.,"Não responda a este e-mail, uma vez que é gerado automaticamente."
email > orderconfirmation.paymentinfos,Informations pour le paiement,Betalingsinformatie ,Informations pour le paiement,Informationen zur Zahlung,Betalingsinformatie,Información para el pago,Informações para pagamento
email > orderconfirmation.preheader,Confirmation de votre commande,Bevestiging van uw bestelling ,Confirmation de votre commande,Bestätigung Ihrer Bestellung,Bevestiging van uw bestelling,Confirmación de tu pedido,Confirmação da sua encomenda
email > orderconfirmation.shippingcost,Frais de livraison,Verzendkosten ,Frais de livraison,Lieferkosten,Leveringskosten,Gastos de envío,Endereço de envio
email > orderconfirmation.subject,Confirmation de commande Babyliss,bevestiging van uw bestelling ,Confirmation de commande Babyliss,Bestätigung der Bestellung Babyliss,Bevestiging van uw BaByliss-bestelling,Confirmación de pedido Babyliss,Confirmação da encomenda Babyliss
email > orderconfirmation.tel,Tél :,Tel.: ,Tél :,Tel.:,Tel.:,Tel.:,Tel.:
email > orderconfirmation.thankfororder,"<i>
<b>Merci pour votre commande,</b>
<br/><br/>
Nous avons le plaisir de vous confirmer que nous avons bien enregistré votre commande et nous vous remercions de votre confiance.
</i>
<br/><br/><br/>","<i>
<b>Bedankt voor je bestelling!</b>
<br/><br/>
We hebben jouw bestelling goed ontvangen en gaan deze gereed maken voor verzending.
<br/>De details van je bestelling vind je hieronder.
</i>
<br/><br/><br/> ","<i>
<b>Merci pour votre commande,</b>
<br/><br/>
Nous avons le plaisir de vous confirmer que nous avons bien enregistré votre commande et nous vous remercions de votre confiance.
</i>
<br/><br/><br/>","<i>
<b>Vielen Dank für Ihre Bestellung.</b>
<br/><br/>
Wir freuen uns, Ihnen den Eingang Ihrer Bestellung bestätigen zu können und danken Ihnen für Ihr Vertrauen.
</i>
<br/><br/><br/>","<i>
<b>Bedankt voor uw bestelling,</b>
<br/><br/>
We zijn blij u te kunnen melden dat wij uw bestelling in goede orde hebben ontvangen en danken u voor uw vertrouwen.
</i>
<br/><br/><br/>","<i>
<b>Gracias por haber realizado tu pedido,</b>
<br/><br/>
Nos complace confirmarte que hemos registrado tu pedido y agradecemos tu confianza.
</i>
<br/><br/><br/>","<i>
<b>Obrigado pela encomenda,</b>
<br/><br/>
Temos o prazer de confirmar que registámos corretamente a sua encomenda e agradecemos a sua confiança.
</i>
<br/><br/><br/>"
email > orderconfirmation.thankfororder2,"Encore merci de votre confiance et à&nbsp;bientôt&nbsp;sur&nbsp;<a href=""http://www.babyliss.com"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d"">Babyliss.com</span></a>
<br/>L'équipe Babyliss","Dank voor uw vertrouwen in BaByliss en tot ziens op<a href=""http://www.babyliss.nl"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d""> BaByliss.nl!</span></a>
<br/>Het BaByliss-team","Encore merci de votre confiance et à&nbsp;bientôt&nbsp;sur&nbsp;<a href=""http://www.babyliss.com"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d"">Babyliss.com</span></a>
<br/>L'équipe Babyliss","Nochmals vielen Dank für Ihr Vertrauen und bis&nbsp;bald&nbsp;auf&nbsp;<a href=""http://www.babyliss.com"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d"">Babyliss.com</span></a>
<br/>Das Team Babyliss","Nogmaals bedankt voor uw vertrouwen en tot ziens op<a href=""http://www.babyliss.be"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d""> BaByliss.be</span></a>
<br/>Het BaByliss-team","Muchas gracias por tu confianza y hasta &nbsp;pronto &nbsp;en &nbsp;<a href=""http://www.babyliss.com"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d"">Babyliss.com </span></a>
<br/>El equipo de Babyliss","Agradecemos novamente pela sua confiança e&nbsp;até breve&nbsp;em&nbsp;<a href=""http://www.babyliss.com"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><span style=""color:#0a011d"">Babyliss.com</span></a>
<br/>A equipa Babyliss"
email > passwordemail.corpsmessage,"<br/><br/>
Nous avons reçu un message demandant de réinitialiser le mot de passe associé à cette adresse e-mail. Si vous êtes bien l'auteur de cette demande, veuillez suivre les instructions ci-dessous. 
<br/><br/>
Si vous n'avez pas demandé la réinitialisation de votre mot de passe, ignorez simplement cet e-mail. Soyez sans crainte, votre compte utilisateur est toujours protégé.
<br/><br/>
Cliquez ci-dessous pour réinitialiser dès maintenant votre mot de passe :","<br/><br/>We hebben een verzoek ontvangen om het wachtwoord dat aan dit e-mailadres is gekoppeld te wijzigen. Hebt u dit verzoek verstuurd, volg dan de onderstaande instructies. 
<br/><br/>
Hebt u niet om een wijziging van uw wachtwoord gevraagd, dan kunt u deze e-mail gewoon negeren. Maak u geen zorgen, uw gebruikersaccount is nog altijd goed beschermd.
<br/><br/>
Klik hieronder om nu uw wachtwoord opnieuw in te stellen:","<br/><br/>
Nous avons reçu un message demandant de réinitialiser le mot de passe associé à cette adresse e-mail. Si vous êtes bien l'auteur de cette demande, veuillez suivre les instructions ci-dessous. 
<br/><br/>
Si vous n'avez pas demandé la réinitialisation de votre mot de passe, ignorez simplement cet e-mail. Soyez sans crainte, votre compte utilisateur est toujours protégé.
<br/><br/>
Cliquez ci-dessous pour réinitialiser dès maintenant votre mot de passe :","<br/><br/>
Wir haben eine Nachricht erhalten, in der um das Zurücksetzen des Passwortes gebeten wird, das mit dieser E-Mail-Adresse verknüpft ist. Falls Sie dies beantragt haben, folgen Sie bitte den nachstehenden Anweisungen. 
<br/><br/>
Falls Sie nicht um das Zurücksetzen Ihres Passwortes gebeten haben, ignorieren Sie einfach diese E-Mail. Keine Sorge, Ihr Benutzerkonto ist weiterhin geschützt.
<br/><br/>
Klicken Sie hier unten, um Ihr Passwort jetzt zurückzusetzen:","<br/><br/>We hebben een verzoek ontvangen om het wachtwoord dat aan dit e-mailadres is gekoppeld te wijzigen. Hebt u dit verzoek verstuurd, volg dan de onderstaande instructies. 
<br/><br/>
Hebt u niet om een wijziging van uw wachtwoord gevraagd, dan kunt u deze e-mail gewoon negeren. Maak u geen zorgen, uw gebruikersaccount is nog altijd goed beschermd.
<br/><br/>
Klik hieronder om nu uw wachtwoord opnieuw in te stellen:","<br/><br/>
Hemos recibido un mensaje solicitando recuperar la contraseña asociada a esta dirección de correo electrónico. Si eres el autor de la solicitud, sigue las instrucciones a continuación. 
<br/><br/>
Si no has solicitado recuperar tu contraseña, simplemente ignora este correo electrónico. No te preocupes, tu cuenta de usuario siempre está protegida. 
<br/><br/>
Haz clic a continuación para recuperar tu contraseña ahora:","<br/><br/>
Recebemos uma mensagem de pedido de reposição da palavra-passe associada a este endereço de e-mail. Se fez este pedido, siga as instruções abaixo. 
<br/><br/>
Se não pediu a reposição da sua palavra-passe, basta ignorar este e-mail. Não se preocupe, a sua conta de utilizador está sempre protegida.
<br/><br/>
Clique abaixo para efetuar agora a reposição da sua palavra-passe:"
email > passwordemail.forgottenpassword,Vous avez oublié votre mot de passe ?,U bent uw wachtwoord vergeten? ,Vous avez oublié votre mot de passe ?,Haben Sie Ihr Passwort vergessen?,U bent uw wachtwoord vergeten?,¿Has olvidado la contraseña?,Esqueceu-se da sua palavra-passe?
email > passwordemail.nolink1,"Si un clic ne suffit pas pour ouvrir le lien, copiez et collez ce lien : 
<br/><br/>","Werkt de knop niet, kopieer en plak dan deze link in uw browser: 
<br/><br/> ","Si un clic ne suffit pas pour ouvrir le lien, copiez et collez ce lien : 
<br/><br/>","Falls sich der Link durch Klicken nicht öffnen lässt, kopieren Sie diesen Link: 
<br/><br/>","Werkt de knop niet, kopieer en plak dan deze link in uw browser: 
<br/><br/>","Si no puedes abrir el enlace haciendo clic en él, copia y pega este enlace: 
<br/><br/>","Se não conseguir abrir a ligação apenas com um clique, copie e cole a seguinte ligação: 
<br/><br/>"
email > passwordemail.nolink2,"<br/>dans la zone d'adresse de votre navigateur ou retapez-le dans ce même endroit. Vous recevrez les instructions à suivre pour réinitialiser votre mot de passe. Remarque : ce lien n'est actif que pendant une courte période.
<br/><br/>
Pour des raisons de sécurité, ce lien arrivera à expiration dans 30 minutes ou dès que vous aurez réinitialisé votre mot de passe.
<br/><br/>
<span style=""font-size:10px;"" class=""f16center"">Cet e-mail est généré automatiquement, merci de ne pas y répondre.</span>",<br/>in de adresbalk van uw browser of typ hem daar over. U ontvangt dan instructies voor het opnieuw instellen van uw wachtwoord.,"<br/>dans la zone d'adresse de votre navigateur ou retapez-le dans ce même endroit. Vous recevrez les instructions à suivre pour réinitialiser votre mot de passe. Remarque : ce lien n'est actif que pendant une courte période.
<br/><br/>
Pour des raisons de sécurité, ce lien arrivera à expiration dans 30 minutes ou dès que vous aurez réinitialisé votre mot de passe.
<br/><br/>
<span style=""font-size:10px;"" class=""f16center"">Cet e-mail est généré automatiquement, merci de ne pas y répondre.</span>","<br/>und fügen Sie diesen in den Adressbereich Ihres Browsers ein oder geben Sie ihn dort manuell ein. Sie erhalten dann die entsprechenden Anweisungen, um Ihr Passwort zurückzusetzen. Achtung: Dieser Link ist nur für kurze Zeit aktiviert.
<br/><br/>
Aus Sicherheitsgründen läuft dieser Link nach 30 Minuten ab bzw. sobald Sie Ihr Passwort zurückgesetzt haben.
<br/><br/>
<span style=""font-size:10px;"" class=""f16center"">Diese E-Mail wurde automatisch versandt, bitte nicht darauf antworten.</span>",<br/>in de adresbalk van uw browser of typ hem daar over. U ontvangt dan instructies voor het opnieuw instellen van uw wachtwoord. Opmerking: deze link blijft niet lang geldig.,"<br/>en el campo de direcciones de tu navegador o escríbelo en dicho campo. Recibirás las instrucciones para recuperar tu contraseña. Nota: este enlace solo estará activo durante un corto tiempo. 
<br/><br/>
Por razones de seguridad, este enlace caducará en 30 minutos o en cuanto hayas recuperado tu contraseña. 
<br/><br/>
<span style=""font-size:10px;"" class=""f16center"">No respondas a este correo electrónico creado automáticamente.</span>","<br/>no campo de endereço do seu navegador, ou digite-a nesse mesmo campo. Receberá instruções para conseguir repor a sua palavra-passe. Nota: esta ligação apenas fica ativa durante um curto período.
<br/><br/>
Por motivos de segurança, esta ligação irá expirar dentro de 30 minutos ou depois de proceder à reposição da sua palavra-passe.
<br/><br/>
<span style=""font-size:10px;"" class=""f16center"">Não responda a este e-mail, uma vez que é gerado automaticamente.</span>"
email > passwordemail.oupsforgottenpassword,Oeps! U bent uw wachtwoord vergeten,Oeps! U bent uw wachtwoord vergeten,Oups ! Vous avez oublié votre mot de passe,Ups! Sie haben Ihr Passwort vergessen,Oeps! U bent uw wachtwoord vergeten,¡Ups! Has olvidado la contraseña,Ups! Esqueceu-se da sua palavra-passe
email > passwordemail.resetpassword,RÉINITIALISER MON MOT DE PASSE,WACHTWOORD INSTELLEN ,RÉINITIALISER MON MOT DE PASSE,MEIN PASSWORT ZURÜCKSETZEN,WACHTWOORD INSTELLEN,RECUPERAR MI CONTRASEÑA,REPOR A MINHA PALAVRA-PASSE
email > passwordemail.subject,Votre mot de passe Babyliss,Uw BaByliss-wachtwoord ,Votre mot de passe Babyliss,Ihr Passwort Babyliss,Uw BaByliss-wachtwoord,Tu contraseña Babyliss,A sua palavra-passe Babyliss
email > resource.dear,Cher(ère),Beste,Cher(ère),Liebe(r),Beste,Distinguido/a,Caro/a
email > resource.from,noreply@babyliss.fr,noreply@babyliss.nl,noreply@babyliss.fr,noreply@babyliss.fr,noreply@babyliss.be,noreply@babyliss.fr,noreply@babyliss.fr
email > resource.passwordassistance,Aide pour le mot de passe,Uw wachtwoord is aangepast,Aide pour le mot de passe,Hilfe für Passwort,Hulp voor uw wachtwoord,Ayuda para recuperar mi contraseña,Ajuda para a palavra-passe
email > welcoming.confirmation,"Nous vous confirmons <span class=""block"">la création de votre compte.</span><br/>Merci de votre confiance et <span class=""block"">à très bientôt sur <a href=""http://www.babyliss.fr"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.fr</u></a>&nbsp;!</span>","Hierbij bevestigen wij dat <span class=""block"">uw account is aangemaakt.</span><br/>Bedankt voor uw vertrouwen en <span class=""block"">à très tot ziens op <a href=""http://www.babyliss.nl"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.nl</u></a>&nbsp;!</span> ","Nous vous confirmons <span class=""block"">la création de votre compte.</span><br/>Merci de votre confiance et <span class=""block"">à très bientôt sur <a href=""http://www.babyliss.fr"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.fr</u></a>&nbsp;!</span>","Wir bestätigen Ihnen <span class=""block"">die Erstellung Ihres Kontos.</span><br/>Vielen Dank für Ihr Vertrauen und <span class=""block"">bis bald auf <a href=""http://www.babyliss.fr"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.fr</u></a>&nbsp;!</span>","Hierbij bevestigen wij dat <span class=""block"">uw account is aangemaakt.</span><br/>Bedankt voor uw vertrouwen en <span class=""block""> tot ziens op <a href=""http://www.babyliss.be"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.be</u></a>&nbsp;!</span>","Te confirmamos <span class=""block"">la creación de tu cuenta. </span><br/>¡Agradecemos tu confianza y esperamos verte <span class=""block"">pronto en <a href=""http://www.babyliss.fr"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.fr</u></a>&nbsp;!</span>","Confirmamos <span class=""block"">a criação da sua conta.</span><br/>Agradecemos pela sua confiança e <span class=""block"">até breve em <a href=""http://www.babyliss.fr"" target=""_blank"" style=""text-decoration:none;font-size:16px;""><u style=""color:#0a011d"">babyliss.fr</u></a>&nbsp;!</span>"
email > welcoming.easierpurchase,Winkel voortaan nog gemakkelijker<br/> door uw <br/>factuur- <br/>en bezorginformatie op te slaan,Winkel voortaan nog gemakkelijker<br/>aankopen gemakkelijker door uw <br/>factuur- <br/>en bezorginformatie op te slaan,Facilitez vos prochains<br/>achats en enregistrant vos<br/>informations de facturation<br/>et livraison,"Erleichtern Sie sich künftige<br/>Einkäufe, indem Sie Ihre Rechnungs- und Lieferdaten speichern.",Winkel voortaan nog gemakkelijker<br/> door uw <br/>factuur- <br/>en bezorginformatie op te slaan,Facilita tus próximas <br/>compras registrando tus <br/>datos de facturación <br/>y de envío,Simplifique as suas próximas<br/>compras com o registo das suas<br/>informações de faturação<br/>e envio
email > welcoming.espaceperso,Bienvenue sur votre espace personnel Babyliss,Welkom op uw persoonlijke BaByliss-pagina ,Bienvenue sur votre espace personnel Babyliss,Willkommen in Ihrem persönlichen Babyliss-Bereich,Welkom op uw persoonlijke BaByliss-pagina,Te damos la bienvenida a tu espacio personal Babyliss,Bem-vindo/a ao seu espaço pessoal Babyliss
email > welcoming.history,Retrouvez l’historique<br/>de vos commandes,Uw l’bestelgeschiedenis<br/>ophalen ,Retrouvez l’historique<br/>de vos commandes,Entdecken Sie Ihren Bestellverlauf,Uw bestelgeschiedenis<br/>ophalen,Encuentra el historial<br/>de tus pedidos,Aceda ao seu histórico<br/>de encomendas
email > welcoming.logo.alt,BaByliss Paris,BaByliss Paris,BaByliss Paris,BaByliss Paris,BaByliss Parijs,BaByliss Paris,BaByliss Paris
email > welcoming.noreply,"Cet e-mail est généré automatiquement, merci de ne pas y répondre.",Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren. ,"Cet e-mail est généré automatiquement, merci de ne pas y répondre.","Diese E-Mail wurde automatisch versandt, bitte antworten Sie nicht darauf.",Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren.,No respondas a este correo electrónico creado automáticamente.,"Não responda a este e-mail, uma vez que é gerado automaticamente."
email > welcoming.receiveoffer,Recevez des actualités<br/>et offres exclusives<br/>par email&nbsp;!,Ontvang het laatste nieuws<br/>en exclusieve aanbiedingen<br/>per e-mail&nbsp;! ,Recevez des actualités<br/>et offres exclusives<br/>par email&nbsp;!,Erhalten Sie Neuigkeiten<br/>und exklusive Angebote<br/>per E-Mail&nbsp;!,Ontvang het laatste nieuws<br/>en exclusieve aanbiedingen<br/>per e-mail&nbsp;!,¡Recibe las últimas noticias <br/>y ofertas exclusivas <br/>por correo electrónico&nbsp;!,Receba notícias<br/>e ofertas exclusivas<br/>por e-mail&nbsp;!
email > welcoming.subject,Babyliss vous remercie d'avoir crée votre compte,BaByliss bedankt u omdat u een account hebt aangemaakt ,Babyliss vous remercie d'avoir crée votre compte,Babyliss dankt Ihnen für die Erstellung Ihres Kontos,BaByliss bedankt u omdat u een account hebt aangemaakt,Babyliss te agradece que hayas creado una cuenta,A Babyliss agradece-lhe por ter criado a sua conta
